country,life-expectancy (yrs),gdp ($US),population,continent,has-univ-healthcare
Afghanistan,52.1,69550000000,34940837,Asia,False
Angola,60.6,190300000000,30355880,Africa,False
Albania,78.6,35970000000,3057220,Europe,False
United Arab Emirates,78.7,686800000000,9701315,Asia,False
Argentina,77.5,920200000000,44694198,South America,True
Armenia,75.1,28280000000,3038217,Europe,False
Australia,82.4,1246000000000,23470145,Oceania,True
Austria,81.7,439600000000,8793370,Europe,True
Azerbaijan,73.0,171800000000,10046516,Asia,False
Burundi,61.4,7990000000,11844520,Africa,False
Belgium,81.2,528500000000,11570762,Europe,True
Benin,62.7,25330000000,11340504,Africa,False
Burkina Faso,61.8,35780000000,19742715,Africa,True
Bangladesh,73.7,687100000000,159453001,Asia,False
Bulgaria,74.8,153100000000,7057504,Europe,False
Belarus,73.2,178900000000,9527543,Europe,False
Belize,74.7,3211000000,385854,North America,False
Bolivia,69.8,83550000000,11306341,South America,False
Brazil,74.3,3240000000000,208846892,South America,True
Brunei,77.5,33540000000,450565,Asia,False
Bhutan,71.1,7030000000,766397,Asia,True
Botswana,63.8,38860000000,2249104,Africa,True
Canada,82.0,1769000000000,35881659,North America,True
Switzerland,82.7,517200000000,8292809,Europe,True
Chile,79.1,451100000000,17925262,South America,True
China,75.8,23160000000000,1384688986,Asia,True
C̫te d'Ivoire,60.1,96920000000,26260582,Africa,False
Cameroon,59.4,88860000000,25640965,Africa,False
Colombia,76.2,714000000000,48168996,South America,True
Costa Rica,78.9,83850000000,4987142,North America,True
Cuba,78.9,137000000000,11116396,North America,True
Cyprus,79.0,31590000000,1237088,Europe,False
Germany,80.9,4171000000000,80457737,Europe,True
Djibouti,64.0,3632000000,884017,Africa,False
Denmark,81.0,286800000000,5809502,Europe,True
Algeria,77.2,632900000000,41657488,Africa,True
Ecuador,77.1,192600000000,16498502,South America,False
Egypt,73.2,1201000000000,99413317,Africa,True
Eritrea,65.6,9382000000,5970646,Africa,False
Spain,81.8,1774000000000,49331076,Europe,True
Estonia,77.0,41560000000,1244288,Europe,False
Ethiopia,63.0,200200000000,108386391,Africa,False
Finland,81.1,244000000000,5537364,Europe,True
Fiji,73.2,8652000000,926276,Oceania,True
France,82.0,2836000000000,67364357,Europe,True
Gabon,68.0,36730000000,2119036,Africa,False
United Kingdom,80.9,2914000000000,65105246,Europe,True
Georgia,76.6,39700000000,4926087,Europe,True
Ghana,67.4,133700000000,28102471,Africa,True
Guinea,62.1,26470000000,11855411,Africa,False
Guinea-Bissau,61.4,3137000000,1833247,Africa,False
Greece,80.8,298700000000,10761523,Europe,True
Guatemala,71.8,137800000000,16581273,North America,False
Guyana,68.9,6287000000,740685,South America,False
Honduras,71.3,46200000000,9182766,North America,False
Croatia,76.3,101300000000,4270480,Europe,True
Haiti,64.6,19930000000,10788440,North America,False
Hungary,76.3,289000000000,9825704,Europe,False
Indonesia,73.2,3243000000000,262787403,Asia,False
India,69.1,9459000000000,1296834042,Asia,True
Ireland,81.0,357200000000,5068050,Europe,True
Iran,74.2,1645000000000,83024745,Asia,False
Iraq,74.9,658800000000,40194216,Asia,False
Iceland,83.1,17620000000,343518,Europe,True
Israel,82.7,316500000000,8424904,Asia,True
Italy,82.4,2311000000000,62246674,Europe,True
Jamaica,74.5,26060000000,2812090,North America,False
Jordan,75.0,89100000000,10458413,Asia,False
Japan,85.5,5429000000000,126168156,Asia,False
Kazakhstan,71.4,477600000000,18744548,Asia,False
Kenya,64.9,163100000000,48397527,Africa,False
Kyrgyzstan,71.2,22970000000,5849296,Asia,False
Cambodia,65.2,64250000000,16449519,Asia,False
Kuwait,78.3,291500000000,2916467,Asia,False
Lebanon,77.9,87680000000,6100075,Asia,False
Liberia,63.8,6099000000,4809768,Africa,False
Libya,76.9,64400000000,6754507,Africa,False
Sri Lanka,77.1,274700000000,22576592,Asia,True
Lesotho,53.0,6955000000,1962461,Africa,False
Lithuania,75.2,91240000000,2793284,Europe,False
Luxembourg,82.4,62730000000,605764,Europe,True
Latvia,74.9,53910000000,1923559,Europe,False
Morocco,77.3,298600000000,34314130,Africa,True
Moldova,71.3,20080000000,3437720,Europe,False
Madagascar,66.6,39730000000,25683610,Africa,False
Mexico,76.3,2458000000000,125959205,North America,True
Macedonia,75.9,30960000000,2118945,Europe,False
Mali,60.8,41000000000,18429893,Africa,False
Myanmar,68.6,328700000000,55622506,Asia,False
Mongolia,70.2,39700000000,3103428,Asia,False
Mozambique,54.1,36730000000,27233789,Africa,False
Mauritania,63.8,17250000000,3840429,Africa,False
Malawi,62.2,22370000000,19842560,Africa,False
Malaysia,75.4,930800000000,31809660,Asia,False
Namibia,64.4,26510000000,2533224,Africa,False
New Caledonia,78.0,11110000000,282754,Oceania,False
Niger,56.3,21840000000,19866231,Africa,False
Nigeria,59.3,1119000000000,203452505,Africa,False
Nicaragua,73.7,36380000000,6085213,North America,False
Netherlands,81.5,916100000000,17151228,Europe,True
Norway,82.0,380000000000,5372191,Europe,True
Nepal,71.3,78590000000,29717587,Asia,False
New Zealand,81.4,188600000000,4545627,Oceania,True
Oman,75.9,186600000000,3494116,Asia,False
Pakistan,68.4,1057000000000,207862518,Asia,False
Panama,78.9,103900000000,3800644,North America,False
Peru,74.2,424400000000,31331228,South America,True
Philippines,69.6,875600000000,105893381,Asia,False
Papua New Guinea,67.5,30330000000,7027332,Oceania,False
Poland,77.9,1121000000000,38420687,Europe,False
Puerto Rico,81.0,121000000000,3294626,North America,False
Portugal,80.9,313400000000,10355493,Europe,True
Paraguay,77.6,68330000000,7025763,South America,False
Qatar,79.0,340600000000,2363569,Asia,False
Romania,75.6,481500000000,21457116,Europe,True
Russia,71.3,4008000000000,142122776,Asia,True
Rwanda,64.5,24630000000,12187400,Africa,True
Saudi Arabia,75.7,1774000000000,33091113,Asia,False
Sudan,65.8,187000000000,43120843,Africa,False
Senegal,62.5,43240000000,15020945,Africa,False
Sierra Leone,59.0,11500000000,6312212,Africa,False
El Salvador,75.1,56990000000,6187271,North America,False
Somalia,53.2,18660000000,11259029,Africa,False
Serbia,75.9,105500000000,7078110,Europe,True
Suriname,72.8,8508000000,597927,South America,False
Slovakia,77.4,179400000000,5445040,Europe,False
Slovenia,81.2,71080000000,2102126,Europe,False
Sweden,82.2,520900000000,10040995,Europe,True
Chad,57.5,28560000000,15833116,Africa,False
Togo,65.8,12940000000,8176449,Africa,False
Thailand,75.1,1234000000000,68615858,Asia,True
Tajikistan,68.4,28380000000,8604882,Asia,False
Turkmenistan,70.7,103500000000,5411012,Asia,False
Timor-Leste,68.7,6753000000,1321929,Asia,False
Tunisia,75.9,135400000000,11516189,Africa,True
Turkey,75.3,2173000000000,81257239,Asia,False
Taiwan,80.4,1185000000000,23545963,Asia,True
Tanzania,63.1,162200000000,55451343,Africa,False
Uganda,56.3,88670000000,40853749,Africa,False
Ukraine,72.4,368800000000,43952299,Europe,False
Uruguay,77.6,78150000000,3369299,South America,False
United States,80.1,19390000000000,329256465,North America,False
Uzbekistan,74.3,222600000000,30023709,Asia,False
Venezuela,76.2,380700000000,31689176,South America,False
Vietnam,73.9,647400000000,97040334,Asia,False
Vanuatu,74.0,770000000,288037,Oceania,False
Yemen,66.2,38600000000,28667230,Asia,False
South Africa,64.1,765600000000,55380210,Africa,True
Zambia,53.0,68890000000,16445079,Africa,False
Zimbabwe,61.1,33960000000,14030368,Africa,False
